wbs_code,description,tp_pos,package,building,nta_ref,status,budget_eur,target_kw,qty_total,qty_done,qty_remaining,manpower_per_day,duration_days,total_mandays,scope,responsible,payment_ref,source,level,parent_wbs,is_leaf,baseline_start,baseline_finish,baseline_working_days,baseline_total_md
1.2.2.1.1.3,Membrane Small,2.3.3,E2NS,,,,,KW15,6,4,2,3,18,27,,MYA,,TP,6,1.2.2.1.1,True,2026-01-19,2026-01-28,9,27
1.2.2.1.2,FT-05 Inside,,E2NS,,,,,KW15,,,,,,,INT,,,,5,1.2.2.1,False,,,,
1.2.2.1.2.1,Membrane Ctrl+Rect,4.6.1,E2NS,,,,,KW15,18,,18,2,12,24,,MYA,,TP,6,1.2.2.1.2,True,2026-04-13,2026-04-25,12,24
1.2.2.2,FT06 Inside,,E2NS,E2S,,,,KW15,,,,,,,INT,,,,4,1.2.2,False,,,,
1.2.2.2.1,Mock-up,4.9.1,E2NS,,,,,KW15,1,1,,2,2,4,,MYA,,TP,5,1.2.2.2,True,,,,
1.2.2.2.2,Approval SOB/DSI/URW,4.9.2,E2NS,,,,,KW15,,,,,,,,URW,,TP,5,1.2.2.2,True,,,,
1.2.2.2.3,Procurement+Mfg,4.9.3,E2NS,,,,,KW15,18,,18,,,,,MYA,,TP,5,1.2.2.2,True,,,,
1.2.2.2.4,Installation,4.9.4,E2NS,,,,,KW15,18,,18,4,18,72,,MYA,,TP,5,1.2.2.2,True,2026-04-06,2026-04-25,18,72
1.2.2.3,FT09,,E2NS,E2S,,,,KW15,,,,,,,,,,,4,1.2.2,False,,,,
1.2.2.4,Interkom Glass,,E2NS,E2S,NTA063,,,KW15,6,,6,,,,,,,,4,1.2.2,False,,,,
1.2.2.4.1,Interkom Glasses,2.11.0,E2NS,,,,,KW15,6,,6,4,6,24,,MYA,,TP,5,1.2.2.4,True,,,,
1.2.3,Lochfenster WT04,,E2NS,E2S,,,47907.39,KW13,,,,,,,,,04.13,Pmt,3,1.2,False,,,,
1.2.3.1,WT-04 Outside,,E2NS,,,,,KW13,,,,,,,EXT,,,,4,1.2.3,False,,,,
1.2.3.1.1,Schüco adaptör,3.1.1,E2NS,,,,,KW13,62,,62,2,18,36,,MYA,,TP,5,1.2.3.1,True,2026-02-16,2026-03-07,18,36
1.2.3.1.2,Stone Install,3.1.2,E2NS,,,,,KW13,53,,53,4,6,24,,MYA,,TP,5,1.2.3.1,True,2026-02-16,2026-02-21,6,24
1.2.3.1.3,Glass install,3.1.3,E2NS,,,,,KW13,5,,5,4,6,24,,MYA,,TP,5,1.2.3.1,True,2026-02-23,2026-02-28,6,24
